headline,date,slide,lat,lng,content,link,credit,infotype,type
The first week of Occupy Central in five minutes,The first week of Occupy Central in 5 minutes,epicentre,22.279528,114.166535,3d8k6g,http://www.scmp.com/video/hong-kong/1609107/recap-hong-kongs-umbrella-movement-5-minutes,,window.infoTypes.video,window.markerTypes.video
Timelapse of the rally on October 10,"October 10, 2014",epicentre,22.279559,114.165706,4u2p7q,http://www.scmp.com/video/hong-kong/1614365/timelapse-thousands-join-rally-students-vow-escalate-protests-occupy-hong,,window.infoTypes.video,window.markerTypes.video
October 2: A day at Occupy Central,"October 2, 2014",epicentre,22.279628,114.165491,2d0w0c,http://www.scmp.com/video/hong-kong/1608724/hong-kong-day-occupy-central,,window.infoTypes.video,window.markerTypes.video
Speaker's stand,"October 7, 2014",epicentre,22.279838,114.165281,scmp_10oct14_ns_ocan32_ci6e8085a_46083527.jpg,http://www.scmp.com/news/hong-kong/article/1613434/live-liaison-office-website-targeted-hackers-government-cancels-talks?page=a,Edward Wong/SCMP,window.infoTypes.picture,window.markerTypes.picture
Study area,Study area,epicentre,22.279814,114.165134,scmp_14oct14_ns_admiralty3_k_y4055a_46157779.jpg,http://www.scmp.com/news/hong-kong/article/1623270/study-area-admiralty-protest-zone-breath-fresh-air,K.Y. Cheng/SCMP,window.infoTypes.picture,window.markerTypes.picture
Lennon Wall,"October 25, 2014",epicentre,22.279889,114.166157,lennon_wall.jpg,http://www.scmp.com/news/hong-kong/article/1618852/website-works-display-protesters-notes-lennon-wall,Cedric Sam,window.infoTypes.picture,window.markerTypes.picture
Umbrella Man,"October 6, 2014",epicentre,22.279748,114.165842,scmp_06oct14_ns_cgo8_img_5704a_46003071.jpg ,http://www.scmp.com/news/hong-kong/article/1653496/hong-kong-volunteers-race-against-time-save-occupy-artworks,May Tse/SCMP,window.infoTypes.picture,window.markerTypes.picture
"October 2: International TV journalists, such as Ali Moore for the BBC, reported live in Hong Kong from a footbridge overlooking the protest site",October 2: Ali Moore for the BBC reporting live in Hong Kong,epicentre,22.279673,114.165255,dsc08176.jpg,http://www.scmp.com/news/hong-kong/article/1542677/organiser-occupy-central-poll-hopes-international-media-will-put,Cedric Sam,window.infoTypes.picture,window.markerTypes.picture
University class boycott at CUHK,YoungPost reports from CUHK,cuhk,22.4194,114.20595,_W5rLb88k_g,http://yp.scmp.com/news/hong-kong/article/90901/class-boycott-kicks-chinese-university,Young Post,window.infoTypes.youtube,window.markerTypes.video
September 26: Riot police deployed after Hong Kong students storm Civic Square,Riot police deployed after Hong Kong students storm Civic Square,storm_civic_square,22.280388,114.166282,0j3g8w,http://www.scmp.com/news/hong-kong/article/1601262/chaotic-scenes-students-break-civic-square-class-boycott-ends,SCMP Video,window.infoTypes.video,window.markerTypes.video
Joshua Wong is arrested for first time: portrait of the Scholarism leader,"Portrait of Joshua Wong, September 2014",storm_civic_square,22.280506,114.16617,9v9e3y,http://www.scmp.com/video/hong-kong/1601854/who-joshua-wong,SCMP Video,window.infoTypes.video,window.markerTypes.video
September 27: Scuffles on Lung Wui Road in front of Legco entrance and 'start' of Occupy declared,September 27: Scuffles on Lung Wui Street in front of Legco entrance and 'start' of Occupy declared,storm_civic_square,22.280897,114.166597,7f3i7u,http://www.scmp.com/video/hong-kong/1605016/end-two-night-student-movement-benny-tai-declares-start-occupy-central,SCMP Video,window.infoTypes.video,window.markerTypes.video
"October 25: At the height of movement, then-SCMP artist Adolfo Arranz sketches under an umbrella sculpture at the roundabout in front of the Legco complex","October 25: At the height of Occupy Central, then-SCMP artist Adolfo Arranz sketches under an umbrella sculpture at the roundabout in front of Legco Complex",storm_civic_square,22.280987,114.166784,dsc09567.jpg,http://multimedia.scmp.com/adolfo-umbrellas/,Cedric Sam,window.infoTypes.picture,window.markerTypes.picture
